class_name,standard,section,subject,teacher,lectures,type,allowed_rooms,daily_max
Class-01,Year-1,C,Operating Systems,Faculty-024,4,THEORY,,2
Class-01,Year-1,C,Programming Lab,Faculty-025,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-01,Year-1,C,Database Lab,Faculty-026,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-01,Year-1,C,Networks Lab,Faculty-027,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-02,Year-2,A,Mathematics,Faculty-028,4,THEORY,,2
Class-02,Year-2,A,Programming Fundamentals,Faculty-029,4,THEORY,,2
Class-02,Year-2,A,Data Structures,Faculty-030,4,THEORY,,2
Class-02,Year-2,A,Database Systems,Faculty-031,4,THEORY,,2
Class-02,Year-2,A,Communication Skills,Faculty-032,4,THEORY,,2
Class-02,Year-2,A,Operating Systems,Faculty-033,4,THEORY,,2
Class-02,Year-2,A,Programming Lab,Faculty-034,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-02,Year-2,A,Database Lab,Faculty-035,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-02,Year-2,A,Networks Lab,Faculty-036,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-02,Year-2,B,Mathematics,Faculty-037,4,THEORY,,2
Class-02,Year-2,B,Programming Fundamentals,Faculty-038,4,THEORY,,2
Class-02,Year-2,B,Data Structures,Faculty-039,4,THEORY,,2
Class-02,Year-2,B,Database Systems,Faculty-040,4,THEORY,,2
Class-02,Year-2,B,Communication Skills,Faculty-041,4,THEORY,,2
Class-02,Year-2,B,Operating Systems,Faculty-042,4,THEORY,,2
Class-02,Year-2,B,Programming Lab,Faculty-043,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-02,Year-2,B,Database Lab,Faculty-044,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-02,Year-2,B,Networks Lab,Faculty-045,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-02,Year-2,C,Mathematics,Faculty-046,4,THEORY,,2
Class-02,Year-2,C,Programming Fundamentals,Faculty-047,4,THEORY,,2
Class-02,Year-2,C,Data Structures,Faculty-048,4,THEORY,,2
Class-02,Year-2,C,Database Systems,Faculty-049,4,THEORY,,2
Class-02,Year-2,C,Communication Skills,Faculty-050,4,THEORY,,2
Class-02,Year-2,C,Operating Systems,Faculty-051,4,THEORY,,2
Class-02,Year-2,C,Programming Lab,Faculty-052,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-02,Year-2,C,Database Lab,Faculty-053,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-02,Year-2,C,Networks Lab,Faculty-054,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-03,Year-3,A,Mathematics,Faculty-055,4,THEORY,,2
Class-03,Year-3,A,Programming Fundamentals,Faculty-056,4,THEORY,,2
Class-03,Year-3,A,Data Structures,Faculty-057,4,THEORY,,2
Class-03,Year-3,A,Database Systems,Faculty-058,4,THEORY,,2
Class-03,Year-3,A,Communication Skills,Faculty-059,4,THEORY,,2
Class-03,Year-3,A,Operating Systems,Faculty-060,4,THEORY,,2
Class-03,Year-3,A,Programming Lab,Faculty-061,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-03,Year-3,A,Database Lab,Faculty-062,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-03,Year-3,A,Networks Lab,Faculty-063,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-03,Year-3,B,Mathematics,Faculty-064,4,THEORY,,2
Class-03,Year-3,B,Programming Fundamentals,Faculty-065,4,THEORY,,2
Class-03,Year-3,B,Data Structures,Faculty-066,4,THEORY,,2
Class-03,Year-3,B,Database Systems,Faculty-067,4,THEORY,,2
Class-03,Year-3,B,Communication Skills,Faculty-068,4,THEORY,,2
Class-03,Year-3,B,Operating Systems,Faculty-069,4,THEORY,,2
Class-03,Year-3,B,Programming Lab,Faculty-070,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-03,Year-3,B,Database Lab,Faculty-071,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-03,Year-3,B,Networks Lab,Faculty-072,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-03,Year-3,C,Mathematics,Faculty-073,4,THEORY,,2
Class-03,Year-3,C,Programming Fundamentals,Faculty-074,4,THEORY,,2
Class-03,Year-3,C,Data Structures,Faculty-075,4,THEORY,,2
Class-03,Year-3,C,Database Systems,Faculty-076,4,THEORY,,2
Class-03,Year-3,C,Communication Skills,Faculty-077,4,THEORY,,2
Class-03,Year-3,C,Operating Systems,Faculty-078,4,THEORY,,2
Class-03,Year-3,C,Programming Lab,Faculty-079,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-03,Year-3,C,Database Lab,Faculty-080,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-03,Year-3,C,Networks Lab,Faculty-081,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-04,Year-4,A,Mathematics,Faculty-082,4,THEORY,,2
Class-04,Year-4,A,Programming Fundamentals,Faculty-083,4,THEORY,,2
Class-04,Year-4,A,Data Structures,Faculty-084,4,THEORY,,2
Class-04,Year-4,A,Database Systems,Faculty-085,4,THEORY,,2
Class-04,Year-4,A,Communication Skills,Faculty-086,4,THEORY,,2
Class-04,Year-4,A,Operating Systems,Faculty-087,4,THEORY,,2
Class-04,Year-4,A,Programming Lab,Faculty-088,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-04,Year-4,A,Database Lab,Faculty-089,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-04,Year-4,A,Networks Lab,Faculty-090,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-04,Year-4,B,Mathematics,Faculty-091,4,THEORY,,2
Class-04,Year-4,B,Programming Fundamentals,Faculty-092,4,THEORY,,2
Class-04,Year-4,B,Data Structures,Faculty-093,4,THEORY,,2
Class-04,Year-4,B,Database Systems,Faculty-094,4,THEORY,,2
Class-04,Year-4,B,Communication Skills,Faculty-095,4,THEORY,,2
Class-04,Year-4,B,Operating Systems,Faculty-096,4,THEORY,,2
Class-04,Year-4,B,Programming Lab,Faculty-097,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-04,Year-4,B,Database Lab,Faculty-098,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-04,Year-4,B,Networks Lab,Faculty-099,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-04,Year-4,C,Mathematics,Faculty-100,4,THEORY,,2
Class-04,Year-4,C,Programming Fundamentals,Faculty-101,4,THEORY,,2
Class-04,Year-4,C,Data Structures,Faculty-102,4,THEORY,,2
Class-04,Year-4,C,Database Systems,Faculty-103,4,THEORY,,2
Class-04,Year-4,C,Communication Skills,Faculty-104,4,THEORY,,2
Class-04,Year-4,C,Operating Systems,Faculty-105,4,THEORY,,2
Class-04,Year-4,C,Programming Lab,Faculty-106,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-04,Year-4,C,Database Lab,Faculty-107,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-04,Year-4,C,Networks Lab,Faculty-108,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-05,Year-1,A,Mathematics,Faculty-109,4,THEORY,,2
Class-05,Year-1,A,Programming Fundamentals,Faculty-110,4,THEORY,,2
Class-05,Year-1,A,Data Structures,Faculty-111,4,THEORY,,2
Class-05,Year-1,A,Database Systems,Faculty-112,4,THEORY,,2
Class-05,Year-1,A,Communication Skills,Faculty-113,4,THEORY,,2
Class-05,Year-1,A,Operating Systems,Faculty-114,4,THEORY,,2
Class-05,Year-1,A,Programming Lab,Faculty-115,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-05,Year-1,A,Database Lab,Faculty-116,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-05,Year-1,A,Networks Lab,Faculty-117,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-05,Year-1,B,Mathematics,Faculty-118,4,THEORY,,2
Class-05,Year-1,B,Programming Fundamentals,Faculty-119,4,THEORY,,2
Class-05,Year-1,B,Data Structures,Faculty-120,4,THEORY,,2
Class-05,Year-1,B,Database Systems,Faculty-121,4,THEORY,,2
Class-05,Year-1,B,Communication Skills,Faculty-122,4,THEORY,,2
Class-05,Year-1,B,Operating Systems,Faculty-123,4,THEORY,,2
Class-05,Year-1,B,Programming Lab,Faculty-124,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-05,Year-1,B,Database Lab,Faculty-125,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-05,Year-1,B,Networks Lab,Faculty-126,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-05,Year-1,C,Mathematics,Faculty-127,4,THEORY,,2
Class-05,Year-1,C,Programming Fundamentals,Faculty-128,4,THEORY,,2
Class-05,Year-1,C,Data Structures,Faculty-129,4,THEORY,,2
Class-05,Year-1,C,Database Systems,Faculty-130,4,THEORY,,2
Class-05,Year-1,C,Communication Skills,Faculty-131,4,THEORY,,2
Class-05,Year-1,C,Operating Systems,Faculty-132,4,THEORY,,2
Class-05,Year-1,C,Programming Lab,Faculty-133,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-05,Year-1,C,Database Lab,Faculty-134,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-05,Year-1,C,Networks Lab,Faculty-135,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-06,Year-2,A,Mathematics,Faculty-136,4,THEORY,,2
Class-06,Year-2,A,Programming Fundamentals,Faculty-137,4,THEORY,,2
Class-06,Year-2,A,Data Structures,Faculty-138,4,THEORY,,2
Class-06,Year-2,A,Database Systems,Faculty-139,4,THEORY,,2
Class-06,Year-2,A,Communication Skills,Faculty-140,4,THEORY,,2
Class-06,Year-2,A,Operating Systems,Faculty-141,4,THEORY,,2
Class-06,Year-2,A,Programming Lab,Faculty-142,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-06,Year-2,A,Database Lab,Faculty-143,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-06,Year-2,A,Networks Lab,Faculty-144,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-06,Year-2,B,Mathematics,Faculty-145,4,THEORY,,2
Class-06,Year-2,B,Programming Fundamentals,Faculty-146,4,THEORY,,2
Class-06,Year-2,B,Data Structures,Faculty-147,4,THEORY,,2
Class-06,Year-2,B,Database Systems,Faculty-148,4,THEORY,,2
Class-06,Year-2,B,Communication Skills,Faculty-149,4,THEORY,,2
Class-06,Year-2,B,Operating Systems,Faculty-150,4,THEORY,,2
Class-06,Year-2,B,Programming Lab,Faculty-151,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-06,Year-2,B,Database Lab,Faculty-152,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-06,Year-2,B,Networks Lab,Faculty-153,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-06,Year-2,C,Mathematics,Faculty-154,4,THEORY,,2
Class-06,Year-2,C,Programming Fundamentals,Faculty-155,4,THEORY,,2
Class-06,Year-2,C,Data Structures,Faculty-156,4,THEORY,,2
Class-06,Year-2,C,Database Systems,Faculty-157,4,THEORY,,2
Class-06,Year-2,C,Communication Skills,Faculty-158,4,THEORY,,2
Class-06,Year-2,C,Operating Systems,Faculty-159,4,THEORY,,2
Class-06,Year-2,C,Programming Lab,Faculty-160,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-06,Year-2,C,Database Lab,Faculty-161,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-06,Year-2,C,Networks Lab,Faculty-162,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-07,Year-3,A,Mathematics,Faculty-163,4,THEORY,,2
Class-07,Year-3,A,Programming Fundamentals,Faculty-164,4,THEORY,,2
Class-07,Year-3,A,Data Structures,Faculty-165,4,THEORY,,2
Class-07,Year-3,A,Database Systems,Faculty-166,4,THEORY,,2
Class-07,Year-3,A,Communication Skills,Faculty-167,4,THEORY,,2
Class-07,Year-3,A,Operating Systems,Faculty-168,4,THEORY,,2
Class-07,Year-3,A,Programming Lab,Faculty-169,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-07,Year-3,A,Database Lab,Faculty-170,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-07,Year-3,A,Networks Lab,Faculty-171,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-07,Year-3,B,Mathematics,Faculty-172,4,THEORY,,2
Class-07,Year-3,B,Programming Fundamentals,Faculty-173,4,THEORY,,2
Class-07,Year-3,B,Data Structures,Faculty-174,4,THEORY,,2
Class-07,Year-3,B,Database Systems,Faculty-175,4,THEORY,,2
Class-07,Year-3,B,Communication Skills,Faculty-176,4,THEORY,,2
Class-07,Year-3,B,Operating Systems,Faculty-177,4,THEORY,,2
Class-07,Year-3,B,Programming Lab,Faculty-178,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-07,Year-3,B,Database Lab,Faculty-179,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-07,Year-3,B,Networks Lab,Faculty-180,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-07,Year-3,C,Mathematics,Faculty-181,4,THEORY,,2
Class-07,Year-3,C,Programming Fundamentals,Faculty-182,4,THEORY,,2
Class-07,Year-3,C,Data Structures,Faculty-183,4,THEORY,,2
Class-07,Year-3,C,Database Systems,Faculty-184,4,THEORY,,2
Class-07,Year-3,C,Communication Skills,Faculty-185,4,THEORY,,2
Class-07,Year-3,C,Operating Systems,Faculty-186,4,THEORY,,2
Class-07,Year-3,C,Programming Lab,Faculty-187,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
Class-07,Year-3,C,Database Lab,Faculty-188,2,LAB,LAB-19|LAB-20|LAB-21|LAB-22|LAB-23|LAB-24|LAB-25|LAB-26|LAB-27|LAB-28|LAB-29|LAB-30|LAB-31|LAB-32|LAB-33|LAB-34|LAB-35|LAB-36,2
Class-07,Year-3,C,Networks Lab,Faculty-189,2,LAB,LAB-37|LAB-38|LAB-39|LAB-40|LAB-41|LAB-42|LAB-43|LAB-44|LAB-45|LAB-46|LAB-47|LAB-48|LAB-49|LAB-50|LAB-51|LAB-52|LAB-53|LAB-54,2
Class-08,Year-4,A,Mathematics,Faculty-190,4,THEORY,,2
Class-08,Year-4,A,Programming Fundamentals,Faculty-191,4,THEORY,,2
Class-08,Year-4,A,Data Structures,Faculty-192,4,THEORY,,2
Class-08,Year-4,A,Database Systems,Faculty-193,4,THEORY,,2
Class-08,Year-4,A,Communication Skills,Faculty-194,4,THEORY,,2
Class-08,Year-4,A,Operating Systems,Faculty-195,4,THEORY,,2
Class-08,Year-4,A,Programming Lab,Faculty-196,2,LAB,LAB-01|LAB-02|LAB-03|LAB-04|LAB-05|LAB-06|LAB-07|LAB-08|LAB-09|LAB-10|LAB-11|LAB-12|LAB-13|LAB-14|LAB-15|LAB-16|LAB-17|LAB-18,2
